doc,mat,cuat,tstamp,asistencia,cumple_horarios,buen_trato,calse_organizada,claridad,fomenta_participacion,panorama_amplio,acepta_critica,responde_mails,comentarios
Veiras,8602,1Q2018,1533872503502,5,5,5,5,5,5,5,5,5,
Carducci,8602,1Q2018,1533872503514,4,4,4,2,2,1,1,2,4,
Azcurra,7542,2Q2017,1533872547108,3,2,2,1,1,1,1,1,1,
Otero,7542,2Q2017,1533872547114,5,5,3,2,2,3,3,3,3,
Bianchi,7542,2Q2017,1533872547115,5,5,4,4,3,4,2,2,3,
Ghersin,8608,1Q2016,1533872591762,3,1,1,1,2,3,4,1,1,
Burgos,8608,1Q2016,1533872591766,5,5,3,3,3,3,3,3,1,
Angelopulo,8608,1Q2016,1533872591771,5,5,3,5,4,2,2,2,2,
Villagra,7509,1Q2018,1533872664630,5,5,5,5,5,5,5,5,5,R3JhbiBjw6F0ZWRyYSB5IGRlIGxvcyBtZWpvcmVzIHByb2Zlc29yZXMgZGUgbGEgZmFjdWx0YWQuIEhheSBxdWUgbGxldmFybGEgYWwgZGlhIHBlcm8gdmFsZSBsYSBwZW5hIHkgbm8gY3Vlc3RhIGhhY2VybG8uIERhIGd1c3RvIGN1cnNhcmxhLg==
Bruno,7509,1Q2018,1533872664632,5,5,5,5,5,5,5,5,5,
Fernandez,7509,1Q2018,1533872664634,5,5,5,5,5,5,5,5,5,
Hamkalo,6620,1Q2018,1533872771741,3,1,1,1,1,1,1,1,1,RGUgbG8gcGVvciBkZSBsYSBmYWN1bHRhZA==
Perez Masci,6620,1Q2018,1533872771743,5,5,5,2,3,3,2,3,3,
Santi,6620,1Q2018,1533872771745,5,3,5,2,2,2,2,2,3,
Natale,6620,1Q2018,1533872771747,5,5,3,2,3,4,3,2,4,
Vargas,8102,1Q2018,1533872994608,4,5,5,5,5,5,5,4,3,
Cabana,8102,1Q2018,1533872994614,3,3,4,4,5,5,4,5,3,
Boggi,6108,2Q2017,1533873008955,4,3,5,3,5,5,5,5,3,
Garcia Serrano,6108,2Q2017,1533873008961,5,5,5,5,5,5,5,4,2,U2lsdmluYSBtZSBwYXJlY2lvIHVuYSBncmFuIHByb2Zlc29yYSwgdGllbmUgbXVjaGEgcGFjaWVuY2lhIHkgZXMgbXV5IGNsYXJhLiBObyB0ZW5pYSBwcm9ibGVtYSBlbiBleHBsaWNhciBsYXMgY29zYXMgbWlsIHZlY2VzIHBhcmEgcXVlIGVudGllbmRhcy4udmEgdW4gcG9jbyBsZW50byBwZXJvIGVzIG11eSBidWVuYQ==
Arrejoria,6108,2Q2017,1533873008968,5,5,5,5,5,5,5,5,5,RnVlIHVubyBkZSBsb3MgbWVqb3JlcyBwcm9mZXNvcmVzIHF1ZSB0dXZlLiBObyBzZSBwb3JxdWUgbm8gZGEgbWFzIGNsYXNlcywgbG8gYnVzcXVlIGVuIG1hdGVyaWFzIHBhcmEgYW5vdGFybWUgeSBubyBsbyB2aS4gU3VzIGNsYXNlcyBlcmFuIGV4Y2VsZW50ZXMsIGFsIHNlciBqb3ZlbiB0ZW5pYSBidWVuYSBsbGVnYWRhLiBFeHBsaWNhIG11eSBjbGFybyB5IHZhIGFsIHJpdG1vIGp1c3RvIG5pIHN1cGVyIGxlbnRvIHF1ZSB0ZSBhYnVycmlzIG5pIHN1cGVyIHJhcGlkbyBxdWUgbm8gbG8gYWxjYW56YXMuIE1lIHBhc2FiYSBkZSBzaSBhbGdvIGVuIGxhIHRlb3JpY2Egbm8gZW50ZW5kaWEgYWxnbyBkZWwgdG9kbyBubyBtZSBwcmVvY3VwYWJhIHBvcnF1ZSBkZXNwdWVzIGVsIGxvIHJlcGFzYWJhIHkgc2UgZW50ZW5kaSBwZXJmZWN0by4gVW5hIHZleiBib2dnaSBubyB2aW5vIHkgZWwgZGlvIGxhIHRlb3JpY2EgeSBmdWUgbXV5IGJ1ZW5hLCBlcyBtdXkgY2xhcm8geSBvcmRlbmFkby4gTm8gc2UgcG9ycXVlIG5vIGVzdGEgbWFzIGVuIGxhIGZhY3VsdGFkIDoo
Seminara,8101,1Q2018,1533873036760,5,5,5,5,5,5,5,5,5,RGVmaW5pdGl2YW1lbnRlIHVuYSBkZSBsYXMgbWVqb3JlcyBwcm9mZXNvcmFzIGRlIGFuw6FsaXNpcywgZXhwbGljYSB0b2RvIGJpZW4gY2xhcm8geSBjb25jaXNvIHkgc2kgbm8gZW50aWVuZGVzIHRlIGxvIHZ1ZWx2ZSBhIGV4cGxpY2FyLiBTaWVtcHJlIHRpZW5lIHByZXBhcmFkb3MgYXB1bnRlcyBwb3Igc2kgbm8gbGxlZ2EgYSBkYXIgdW4gdGVtYSBjb21wbGV0byBjb21vIHBhcmEgcXVlIHVubyBlc3R1ZGllIHBvciBzaSBtaXNtbyB5IHNvbiBtdXkgbXV5IGNvbXBsZXRvcy4gRGVmaW5pdGl2YW1lbnRlIGxhIHJlY29taWVuZG8h
Palazón,8101,1Q2018,1533873036796,5,5,5,4,4,5,4,5,4,RW4gbG8gZ2VuZXJhbCwgbXV5IGJpZW4uIEEgdmVjZXMgc2UgdHJhYmFiYSBlbiBsYXMgZXhwbGljYWNpb25lcyBvIGhhY2lhIGPDoWxjdWxvcyBtdXkgZWxhYm9yYWRvcyBjdWFuZG8gbGFzIGNvc2FzIHNhbMOtYW4gbXVjaG8gbcOhcyBzaW1wbGVzIHBlcm8gZW4gbG8gZ2VuZXJhbCBiaWVuLiBNdXkgcHJlZGlzcHVlc3RhIGEgcmVzcG9uZGVyIGNvbnN1bHRhcyBpbmNsdXNvIHBhc2FkYSBsYSBob3JhIGRlIGxhIHByw6FjdGljYS4=
Lucuy Suarez,8101,1Q2018,1533873036814,5,5,5,5,5,5,5,5,3,U3VzIGdyw6FmaWNvcyBlbiBlbCBwaXphcnLDs24gc29uIGRlIG90cm8gbXVuZG8sIGVzIHVuIG11eSBidWVuIHByb2Zlc29yLiBNaSBmYXZvcml0byBkZSBsYSBwcsOhY3RpY2EsIGV4cGxpY2EgY2xhcm8geSBlcyBwcm9saWpvLiA=
Estrin,8101,1Q2018,1533873036838,5,5,4,4,3,3,4,4,3,RW4gbMOtbmVhcyBnZW5lcmFsZXMsIGJpZW4uIEVzIHVuIHBvY28gZGVzcHJvbGlqbyBlc2NyaWJpZW5kbyBlbiBlbCBwaXphcnLDs24sIHN1IGxldHJhIG5vIGVzIG11eSBidWVuYSwgcGVybyBleHBsaWNhIGJpZW4uIEhheSBhbGd1bmFzIGNvc2FzIHF1ZSBkZWPDrWEgcXVlIHRlcm1pbmFiYW4gY29uZnVuZGllbmRvbWUgcG9ycXVlIGhhY2UgbGFzIGNvc2FzIHRvdGFsbWVudGUgZGUgb3RyYSBtYW5lcmEgcXVlIHNlbWluYXJhLCBwZXJvIG3DrW5pbWFzLg==
